senseid	   sense	sense_coll	sense_trans	headid
18490302	phone calls		дуудлага	184903
18490303	from alcahol		тайвшрал, тавирал	184903
18491401	GB SPORT		гоц мөргөх	184914
18492001		days,years,scene	өнгөрсөн	184920
18492101	GB of a local government		орон нутгийн хууль	184921
18492102	US of an organization		байгууллагын дүрэм	184921
18492301	, automobile ,		тойруу зам	184923
18492302	pipe,channel		туслах хоолой, туслах суваг	184923
18492303	, electricity ,		салаалга	184923
18492304	, medicine ,		өвчтэй хэсгийг ни тойруулан залгаж эрхтний үйл ажи	184923
18492901	, computing ,		байт/мэдээллийн их багыг хэмжих нэгж/	184929
18493001	, literal ,		хөдөлгөөн багатай зам	184930
18493002	FIG		орхигдсон,мартагдсан зүйл	184930
18493301			Византи	184933
20000301	abbrev = madam		хатагтай	200003
20000302	to Queen		хатантан	200003
20000401	abbrev = mackintosh		борооны цув	200004
20003001		person	галзуу, солиотой, галзуурсан, солиорсон	200030
20003002		dog, bull	галзуу	200030
20003003	foolish	idea, scheme	тэнэг, солиотой	200030
20003004	spend money		солиотой юм шиг мөнгө үрэх	200030
20003005	angry		ууртай, хилэнтэй	200030
20003006	enthusiastic	person	ухаан жолоо алдах	200030
20003007		hobby	юманд ухаан тавин хорхойтох	200030
20003008	frantic	panic	яахаа мэдэхээ болих	200030
20004701	abbrev=Ministry of Agriculture, Fisheries and Food		Хөдөө аж ахуй, Загас агнуур, Хүнсний яам	200047
20004901	abbrev magazine			200049
20008301	wood, tree		улаан хүрэн мод	200083
20008302	colour		улаан хүрэн	200083
20008303	noun modifier	table, chest	улаан модон	200083
20008401	in house		гэрийн үйлчлэгч эмэгтэй	200084
20008402	in hotel		үйлчлэгч эмэгтэй	200084
20013601	written in full as = Major			200136
20014501	brand		загвар, марк	200145
20016701	PSYCH		нийц муутай, хүнтэй таарамжгүй	200167
20021201			хөхтан амьтан	200212
20021701	adult male		эрэгтэй хүн	200217
20021703	person		хүн	200217
20021704	person of courage		эр хүн	200217
20021801	employees		ажилчид	200218
20021802	soldiers		цэргүүд	200218
20021803	sailors		усан цэргүүд	200218
20031701	of region		газрын зураг	200317
20031702	of town, underground		бүдүүвч зураг	200317
20032201	press p etc -rr-, often in the passive voice		сэвтээ, балла, сүйтгэ	200322
20036001			мутант	200360
20038301	, pejorative , нисэх буудал, дэлгүүр зэрэг газар байнга эшиг		(чихэнд чийртэй) хөгжмийн бичлэг	200383
20039001	, medicine ,		холын харалган	200390
20039002	FIG		харалган	200390
20039201	refl		өөрөө, өөрийгөө, өөртөө	200392
20039202	emphatic		би өөрөө, би өөрөө л	200392
20040301		person, smile	гайхширсан	200403
20040501			одой хүн, өөдсөн хүн	200405
20040601		cord, jacket, trousers	унтлагын	200406
20040801	, electricity , aviation ,		шон	200408
20040901			пирамид	200409
20041801	profession		сувилахуй	200418
20041802	care		сувилгаа	200418
20042401	, culinary , walnut		хушги	200424
20042402	hazel		модны самар, уулын самар	200424
20042403	almond		бүйлс	200424
20042404	peanut		газрын самар, хуасан	200424
20042405	, technology ,		эм эрэг	200424
20043301			шөргөө	200433
20043801	written in full as=New York City		Нью Йорк хот	200438
20043901			нийлэг эд, нейлон	200439
20044101			лус савдаг	200441
20044501			эзэн	200445
20045101			шар	200451
20045201		shoes, polish	хүрэн улаан	200452
20045601			эрэгтэй  гутал (үдээстэй, хамар дээгүүрээ оёотой)	200456
20045701			исэлдүүлэ	200457
20045901	written in full as = Oxfordshire		Оксфордын их сургуулийн төгсөгч	200459
20045902	written in full as Oxoniensis		Оксфордын их сургуулийн оюутан	200459
20046001			хүчилтөрөгч	200460
20046201	fish		хясаа	200462
20046801	, chemistry ,		озон	200468
20046802	sea air		далайн сэнгэсэн агаар	200468
20047301	fallacy		андуу ташаа ойлголт, андуу ташаа яриа	200473
20047302	mythology		домог, үлгэр домог	200473
20048301			цонхны шаваас	200483
20049101	aaasxxcc			200491
20049301			хэтрүүл	200493
20053001	be indebted for	money, invention, life, success	өртэй бай	200530
20053002		failure		200530
20053003		aristic, style,	хэн нэгний ачаар -тай болсон гэ	200530
20053004		money	өртэй бай	200530
20053005	be morally bound to give	duty, explanation	тэгэх  ёстой гэж үз, ингэх ёстой гэж үз	200530
20053101	for		төлөх ёстой өр	200531
20053301			шөнийн мах идэшт шувуу	200533
20053302	with tufled ears		ууль	200533
20062101	large garment		том размерийн хувцас, тарган хүний хувцас	200621
20064601			зуйван дүрс,зуйван хэлбэр	200646
20074701	of voice, part of body		чичрэх	200747
20074702	of leaves		сэрчигнээн	200747
20074703	of excitement		сэтгэл догдлол	200747
20074704	for arrows		саадаг	200747
20075501	ring		цагираг	200755
20075502	game		цагираг шидэх тоглоом	200755
20081101			Катар улс	200811
20081301	abbrev=quod erat demonstrandum		батлах гэсэн зүйл	200813
20081401	written in full as quantity			200814
20081501	impostor		нэр зээлдэгч, мэхлэгч	200815
20081502	GB, doctor		эмчийн оронцог, эмч сэтэртэн	200815
20081503	onomat		ганганаа	200815
20090101			квази	200901
20090901			бөөлжис цутгах, дотор муухайрах	200909
30000201		person, group, object	бүр, болгон, тутам, тоолон	300002
30000202	pron		тус бүр	300002
30000501		person	хүслэн болсон	300005
30000502		anticipation, acceptance	тэсгэлгүй	300005
30000503		face	байж ядсан	300005
30000504		student	махруу	300005
30000505	keen		тэгэх хүслэн болох,ингэх хүслэн болох	300005
30000506	impatient		тэгэх  гэж тэсч ядах, ингэх гэж тэсч ядах	300005
30001101			чих	300011
30001102	of wheatcorn		түрүү	300011
30001103	noun modifier	infection, operation	чихний	300011
30001104	from job, home		хөөгдөх	300011
30004201	lack of difficulty		амар байдал	300042
30004202	freedom from anxiety		тайвшрах	300042
30004203	one's		биеэ барихаа болих, чөлөөтэй байх	300042
30004204	about тухайд		хүний санааг амраах	300042
30004205	confidence of manner		биеэ барихгүй байх	300042
30004206	affluence		сэтгэл өег байх	300042
30004207	lessen GEN	congestion	суллах	300042
30004208		burden	хөнгөлөх	300042
30004209	make easier	situation	намжаах	300042
30004210		communication	хялбарчлах	300042
30004211		transition	зөөллөх	300042
30004212	move carefully			300042
30004213		tension, rain, situation	намжих	300042
30004214		problem	хөнгөрөх	300042
30004215		pain	намдах	300042
30004216		pressure, price	буурах	300042
30004217		congestion	сулрах	300042
30004218		rate	саарах	300042
30006901	pret ate, pp eaten, consume	meal	ид, зоогло	300069
30006902	one's		хоол ид	300069
30008201	pres p etc - pp		чагна, сэм сонс	300082
30008301	of tide		татлага	300083
30008601	wood		шинэс	300086
30008602	colour		пад хар, тас хар	300086
30008701			оргилуун	300087
30008901			этгээд хүн	300089
30009201	abbrevn = electrocardiogram, electrocardiograph		зүрхний цахилгаан бичлэг	300092
30009301	pl - es		цуурай	300093
30009701	of the sun or moon, of - ын		хиртэлт	300097
30009901			эко	300099
30012001			хэт хөөрөх	300120
30012002	drug, хууль бус эмийн нэр		экстази	300120
30012401	abbrev = European Currency Unit		екю	300124
30012402		value	экюгийн	300124
30012701			намарс, экзем	300127
30012801	abbrev = Bachlor of Education		Боловсролын бакалавр	300128
30012901			хуй	300129
30013101			Ээдэний цэцэрлэг	300131
30013201	outer limit		зах, ирмэг, хаяа	300132
30013202	of wood, clearing		зах	300132
30013203	of blade		ир	300132
30013204	of book, plank		ирмэг, хөвөө	300132
30013205		appetite	хөдөлгөх	300132
30013206		pleasure	үймүүлэх	300132
30013207		anger, appetite	дарах	300132
30013208		writing, style	муудах	300132
30013209		person	жавхаагүй болох	300132
30013210	advantage		давуу байдалтай болох	300132
30013211	touchy	person	бухимдуу байх	300132
30013212	extremity		аюулын ирмэгт	300132
30014201		fruit, plant, mushroom, snail	иддэг, хүнсний	300142
30014202		meal	идэж болмоор	300142
30015501	teach		сурган хүмүүжүүл	300155
30015502	provide education for		боловсрол олго	300155
30015503	inform; about, in тухай	public, smokers, drivers	таниул, сонордуул	300155
30015504		palate, tastes, mind	хөгжүүл	300155
30017201			VII Эдуардын үе	300172
30017401	abbrev-European Economic Community		Европын Эдийн Засгийн Хамтын Нийгэмлэг	300174
30017601			могоолзой загас	300176
30017701		silence, place	аймаар, айдас төрөм	300177
30017801			арилга	300178
30020301	abbrev = English as a Foreign Language		гадаадынханд зориулсан англи хэл	300203
30020501	electronic funds transfer			300205
30020801		person, principles, tradition	эгалитар	300208
30020901			өндөг	300209
30022401			биеэ өргөмжлөх, "би" гэх	300224
30022402			бодь хүн	300224
30023401			Египет	300234
30023701	quilt		өдөн хөнжил	300237
30023801			найм	300238
30025601			Бүгд Найрамдах Ирланд Улс	300256
30025701	one or other		аль нэг нь, аль нь ч	300257
30025702	both		аль аль нь боломжтой	300257
30026101	exclaim		дуу алд, уулга алд	300261
30026401	give out	machine, system, waste	гаргаж хая	300264
30026402		volcano, lava	хаял	300264
30026403		cassette	гарга	300264
30026404	throw out	troublemaker	хөөж гарга	300264
30026701	by-аар; doing тэгж, ингэж	income, supplies	арай гэж хүргэ	300267
30026801			нарийн	300268
30026802		system,network, plan	нарийн, төвөгтэй	300268
30026803		design	адармаатай	300268
30026804		painting	уран тансаг	300268
30026805		sculpture	уран хийцтэй	300268
30026806		costume	нарийн хийцтэй	300268
30026807		precaution, preparation	чамбай	300268
30028001			Эльба мөрөн	300280
30028501	older person		ахмад хүн	300285
30028502	of tribe, group		настан	300285
30028503	of the genus Sambucus		вот гандьгар	300285
30029301			шилмэл хүмүүс	300293
30035401	pl elves		элф	300354
30035501		opinion	мэдэхийг оролд, мэдэхийг шалгаа	300355
30035502		reaction	үзүүл	300355
30035503		response, explanation	өг	300355
30036301	of the genus Ulmus		хайлаас, хайлас	300363
30036401			уран илтгэх чавдар	300364
30037201			өөр	300372
30037202	very nice			300372
30037203	unusual		тэр ёстой онцгой хүүхэн	300372
30037401	English Language Teaching			300374
30037501		mystery	тайл	300375
30037502		problem	тодруул	300375
30037503		text, concept	тайлбарла	300375
30037801		person	хатингар, турж эцсэн	300378
30037802		feature	эцэнхий	300378
30037803		limb, body	хатингар, эцэнхий	300378
30037804		animal	эцэнхий, туранхай, яс арьс болсон	300378
30038501	preserve		занданшуул	300385
30038502	give balmy fragrance		гаврын үнэр шингээ, гавар түрх, мөнхжүүл	300385
30041201	literary genre		уран зохиол	300412
30041202	books		роман	300412
30041203	delusion		худал хуурмаг зүйл	300412
30041204	untruth		зохиомол зүйл	300412
30041205	creation of the imagination		уран сэтгэмж	300412
30042001	алдаа мадгийг		зас	300420
30044801	about to leave		цагаачлагч	300448
30044802	settled elsewhere		цагаач	300448
30045901			Эмми шагнал	300459
30046001			арьс зөөлрүүлэх тос	300460
30047001			сэтгэлийг  ойлгох, зовлонг ойлгох	300470
30049901	abbrev=European Monetary System		Европын мөнгөний тогтолцоо	300499
30050001	FML, imitate		дууриа	300500
30050002	rival		дав, давж гар	300500
30050003	, computing ,		хувил	300500
30050401			боломж өг	300504
30050402			идэвхитэй болго	300504
30050403		learning	таатай нөхцөл бүрдүүл	300504
30050404	facilitate	growth	боломж бүрдүүл	300504
30051201	=encl			300512
30054301	final part		төгсгөл, эцэс	300543
30054310	side of conversation, transaction	change, half-time, field, teams	тал	300543
30054312	aim	mind	зорилго	300543
30054313	scrap, of rope, string, joint		үзүүр	300543
30054314	of loaf	cigarette	зах	300543
30054315	of meat		үзүүр хэсэг	300543
30054316	death		үхэл	300543
30059201	, medicine ,		бургуй	300592
30060501	embrace		тэвэр	300605
30060502	contain		боо, ороо	300605
30060503	envelop		дугуйл	300605
30060901	attract	attention, interest, sympathy	тат	300609
30060902		imagination	эзэмд	300609
30060903	involve	activity	эрхэл, хий	300609
30060904	employ	lawyer, secretary, interpreter	ав	300609
30060905	, automobile ,	gear	Nicd хий	300609
30060906	, military ,	enemy	Nicc тулалд	300609
30065001		prospects, status, appearance, qualities	сайжруул	300650
30065002		rights, power	бэхжүүл, бататга	300650
30065003		public image	дээшлүүл	300650
30065004		value	өсгө	300650
30065005		pension, salary	нэм, өсгө	300650
30065101			оньсого	300651
30065301	get pleasure from		таашаал ав, таал, зугаацан цэнгэ	300653
30065302	benefit from		Nicc бай	300653
30065701		space, photograph	томруул, томсго	300657
30065702		business	өргөжүүл, тэл	300657
30065703		capacity	өсгө, нэмэгдүүл	300657
30066801			Nicd орооцолд	300668
30067001	, literal ,		язгууртны хэргэм олго	300670
30067002	FIG		өөд тат	300670
30067101			аймшигт байдал	300671
30067102	evil act		хэрцгий үйлдэд	300671
30067501			=inquire	300675
30067701			хилэгнүүл	300677
30068301			Nicd тухал	300683
30068801	abbrev = Ear, Nose and Throat		чих, хамар, хоолой	300688
30075201	FML		тооч	300752
30075601			хуч, бүр, ороо, боо	300756
30077701			фермент	300777
30077801	GB abbrev = Equal Opportunitiens Commission			300778
30077901	all contexts		богино настай, түр зуурын	300779
30078001	GEN		тууль	300780
30078002	film		туульсын кино	300780
30078003	novel		туульс	300780
30078401			тахалт, тахлын	300784
30080001			эрин үе	300800
30080301		climate, temperament	тогтуун, намуун	300803
30084401	GEN		эрин	300844
30084402	in politics, fashion etc		эрин, үе	300844
30085201		posture	цэх	300852
30085202		tail, ears, construction	босоо	300852
30085203		penis	боссон	300852
30085501	+ v sg		ажлын байрны зохион байгуулалт	300855
30085601	Lake		Эри нуур	300856
30085801	abbrev - Exchange Rate Mechanism			300858
30086001	, literal ,	wind	элээ	300860
30086002		sea	ид	300860
30086003		rain	эвдэл	300860
30086004	FIG	confidence, power, authority	алдагдуул	300860
30086601	make mistake		алд, эндүүр	300866
30086602	stray		төөрөлд	300866
30087301			орлуулагч	300873
30087501		person	эрдэм мэдлэгтэй, их эрдэмтэй	300875
30087502		book, discussion	шинжлэх ухааны, эрдэм шинжилгээний	300875
30087901			цахилгаан  шат, хөвдөг шат, эскалатор	300879
30089701	person		эскимос хүн	300897
30089702	language		эскимос хэл	300897
30089901	abbrev - English as a Second Language			300899
30090001	US = oesophagus			300900
30090201	= especially			300902
30090901	= esquire, on letter		ноён	300909
30091001	, school , on, about тухай		зохион бичлэг, эссэ	300910
30091002	, literature , on тухай		эссэ, нийтлэл	300910
30091701	= established			300917
30094101	=estimated time of arrival			300941
30094401			сийл	300944
30094601		life, salvation	мөнх(ийн), үүрд(ийн)	300946
30094602		chatter, optimist	үргэлжийн	300946
30094603	, pejorative ,	recriminations	нэг насны	300946
30094901	, physics , chemistry ,		эфир	300949
30094902	the upperair		эфир	300949
30096201	social		ёс, дэг жаяг	300962
30096202	professional, diplomatic		ёс, ёс журам	300962
30096301	person		этруск хүн	300963
30096501			үгийн гарал судлал, үгийн гарал зүй	300965
30096701			евгеник онол	300967
30096801			шашин магт	300968
30097101			тайган хүн	300971
30097201			цээрлэсэн  үг, эерүү үг	300972
30097601			Евроазийн эрлийз	300976
30100301			эдгэршгүй өвчтнийг	301003
30100302			хүний гарт орсон өндөр настныг өрөвдөн егүүтгэх ёс	301003
30100401			нүүлгэн шилжүүл	301004
30101601			босго	301016
30106301	from орон гэрээс нь		хөө	301063
30107101			санагдуулсан	301071
30107701			эм хонь	301077
30108301			дордуул	301083
30110301		site	ух, малт, малталт хий	301103
30110302		tunnel	нүхэл, ух	301103
30117101	US, abbrev = executive		удирдах ажилтан	301171
30120101		person	амьсгалаа гарга	301201
30120102		chimney	утаа гарга	301201
30122402	as a punishment		цөлөгдөгч, нутаг заагдагч	301224
30122403	for choise		цагаач	301224
30122404	long absence abroad, for choise		цагаачлах	301224
30122405	enforced		дүрвэх	301224
30122406	expulsion		нутаг заагдах, цөллөг	301224
30123601			бөөнөөрөө явж одох	301236
30124601	GEN		тэл, өргөжүүл	301246
30124602		horizon, empire, lungs	тэл	301246
30124603		knowledge	тэл, өргөтгө, зузаатга	301246
30124604		production, workforce	нэмэгдүүл	301246
30124605	, mathematics , computing ,		өргөтгө	301246
30136101	GEN		чамин	301361
30136102		setting	үзэсгэлэн төгс	301361
30136103		tact, precision	маш нарийн	301361
30136104		pleasure	туйлын, хэмжээлшгүй	301361
30136105		pain	хурц	301361
30136601			хадгалагдан үлдсэн, улиран үлдсэн	301366
30143801			золбоолог чанар, золбоотой чанар, цог хийморлог ба	301438
30144501	, anatomy ,		нүд	301445
30144502	watch		хүнийг сайтар ажиглаж байх,юмыг сайтар ажиглаж бай	301445
30144503	want	house	хүн дээр нүдээ унагах, юман дээр нүдээ унагах	301445
30144504	lust after	person	хүнд нүд алдах	301445
30144505	aim for	job	Nica хараандаа авах	301445
30144506	opinion			301445
30144507	flair			301445
30144508		detail, colour, antiques		301445
30144509	hole in needle		сүвэгч	301445
30144510	to attach hook to		гогцоо	301445
30144511	on potato		нүх	301445
30144512	on peacock's tail		нүдэн хээ	301445
30144513	of storm		гол	301445
30144514	FIG		хэл амны бай	301445
30147801			махчин шувууны үүр	301478
30148201	abbrev = Federal Aviation Association		Холбооны Агаарын тээврийн газар	301482
30148301			ёгт үлгэр	301483
30149101	front part of head		нүүр	301491
30149102		person	дээш  харж хэвтэх, доош харж хэвтэх	301491
30149103	expression		царай	301491
30149104	FIG, outward appearance	industry	дүр төрх	301491
30149105	dignity		нэр нүүрээ хугалах	301491
30149106	surface, of clock, watch, playing card, document		нүүр	301491
30149107	of gem, dice, cliff, mountain, rock, planet		нүүр тал	301491
30149108	of coin		сүлдтэй тал	301491
30153501	craze		шохоорхол	301535
30153502	whim		адайр  зан, цамаан зан	301535
30154501			баас, өтгөн	301545
30154601	cigarette		янжуур	301546
30154602	GB, nuisance		төвөг, яршиг, хар дараа	301546
30154901	, music ,		фа	301549
30155001	, school , university ,		шалгалтанд унах	301550
30160001	jewel		хуурамч эрдэнийн чулуу	301600
30160002	work of art etc		хуурамч бүтээл	301600
30160003	person		мэхлэгч	301600
30160301			шонхор	301603
30165901			алдар нэр	301659
30169001	of star, actor, politictian, artist, team, etc		шүтэгч, шүтэн бишрэгч, фэн	301690
30169002	of football, jazz		хорхойтон	301690
30169003	for cooling, GEN , automobile , mechanical		сэнс	301690
30169004	hand-held		дэвүүр	301690
30171601	abbrev=Food and Agriculture Organization		ХХААБ (Хүнс Хөдөө Аж Ахуйн Байгууллага)	301716
30171701	in space		хол, алс	301717
30171702	in time		аль дээр үед	301717
30171703	to a great degree, very much		хавьгүй, хамаагүй	301717
30171704	to what extent, to the extent that		...-ж байгаагаар	301717
30171705	to extreme degree		хэтэрхий, дэндүү	301717
30176101	GB, dashboard		хяналтын самбар	301761
30176102	overshop		нэр хаяг	301761
30180001	in diet		өөх, тос	301800
30180002	on meat		өөх	301800
30180003	for cooking, GEN		тос	301800
30180004	from meat		тос	301800
30180005	in body		өөх	301800
30183601	US		усны цорго	301836
30184601	approval		тал, ая тал	301846
30184602	kindness		ач, тус, ач тус 	301846
30184901			хэлэмгий, доломгой байх	301849
30185501			багаж хэрэгсэл, багаж	301855
30185701		conspiracy	үг, ам	301857
30186001	, literal ,		амны чихээс, амыг нь хаах	301860
30186002	FIG		амыг нь үдэх	301860
30186003	joke		шог яриа	301860
30186401			баяр хөөр	301864
30187401	=gallon			301874
30190501	, zoology ,		илий	301905
30190502	colour		хул өнгө, хул хээр өнгө	301905
30190901	pl - es, also - message		цахилгаан, факс	301909
30190902	also - machine		факсын аппарат	301909
30191201			балмагдуул	301912
30191301	abbrev = Federal Bureau of Investigation		Холбооны Мөрдөх Товчоо	301913
30191401	abbrev = Foreign and Commonwealth Office		Гадаад болон Хамтын Нөхөрлөлийн орнуудын Хэрэг Эрх	301914
30191501	abbrev = Food and Drug Administration		Хүнс, Эмийн асуудал Хариуцсан Агентлаг	301915
30191601	fright		айдас	301916
30191602	apprehension		эмээх, болгоомжлох	301916
30191603	possibility		айх явдалгүй, болгоомжлох явдалгүй	301916
30194201	=February			301942
30194401	improvident		хариуцлагагүй	301944
30194402	helpless		арчаагүй	301944
30194403	inept		эв дүйгүй	301944
30194601	=feed			301946
30195901	for professional, artistic service		хөлс, төлбөр	301959
30195902	for admission		хураамж	301959
30195903	for membership		татвар	301959
30196201			Гамби	301962
30197501	GB, pain		өвдөөд байна	301975
30197502	US, con		мэхлэх, залилах	301975
30198201		dancer	эргэлд	301982
30198202		kite	эргэлдэн нис	301982
30199901	, zoology ,		эр галуу	301999
30201401	=jail			302014
30201501	space, between planks, curtains, in fence		завсар	302015
30201502	in wall		нүх	302015
30201503	in timetable		зав	302015
30201504	in records, report, text, diagram		зай	302015
30201505	between buildings, cars		зай	302015
30201506	in cloud		үүлэн чөлөө	302015
30201508	discrepancy, in age, scores		зөрүү	302015
30201509	berween opinions		зөрүү, ялгаа	302015
30201510	of status		ялгаа	302015
30201511	in knowledge, education		дутуу	302015
30201512	in hills		хөндий	302015
30201801			гарааш	302018
30207301	GEN		хий, гааз	302073
30207302	, chemistry ,		хий	302073
30207303	anaesthetic		унтуулах хий	302073
30207304	, military ,		хорт хий	302073
30207305	petrol		шатахуун	302073
30207306	US, also - pedal		хааз, хурдасгуур	302073
30211901	of field, level crossing		хаалт	302119
30211902	in town, prison, garden		хаалга	302119
30211903	airport		хаалга	302119
30211904	of courtyard, palace, in underground		хаалга, үүд	302119
30211905	, computing ,		гарц	302119
30215101	FML	innocence, surprise	дүр үзүүл, дүр эсгэ	302151
30215102		illness, sleep	царайл	302151
30215501	FML		ончтой	302155
30217801	, biology , zoology ,		эмэгчин амьтан	302178
30217802	woman		эмэгтэй  хүн, бүсгүй хүн	302178
30217803	, pejorative ,		авгай, чавганц	302178
30218801			намаг, балчиг	302188
30219801			зэрлэгшсэн, зэрлэг	302198
30222401		wound, sore	бээрлэ, идээл	302224
30222402		situation	мууд	302224
30222403		feeling	дорд	302224
30223001	bring, GEN		авчир	302230
30223002	carry back		хүнд юм аваач	302230
30223003	to dog		аваад ир!	302230
30223004	bring financially	goods	ашиг авчир	302230
30224101			дайсагнал	302241
30224501	, literal ,		халуун (биеийн)	302245
30224502	FIG		халуурал	302245
30225001	not many		цөөхөн, хэдхэн	302250
30225002	some, several		хэд хоногт, хэд өнжөөд	302250
30225003	in past		хэдэн өдөрт, хэдэн долоо хоногт	302250
30225004	in future		ирэх хэд хоногт, ирэх долоо хоногт	302250
30225701	clairvoyant		далдыг харагч	302257
30225702	whimsical		хачин, гажигтай	302257
30225801	pl -zes		цацагтай тоорцог	302258
30226001			сүйт хархүү	302260
30226301			зохиомол  яриа, худал яриа	302263
30227701	dishonest scheme		заль мэх, мэх	302277
30227702	violin		хийл	302277
30228601			хамжлагын түрээсийн газар	302286
30231301			жимбүүр	302313
30233101	fruit		инжийр (удамбарын жимс)	302331
30236401	also Fiji Islands		Фижи арал	302364
30236501	, electricity ,		чийдэнгийн утас	302365
30236502	of fibre		хялгасан утас	302365
30243401	, zoology , of fish, seal, shark		сэлүүр	302434
30243402	, aerospace ,		онгоцны хэрсэн	302434
30243403	, technology , automobile ,		ялтас, хавтан	302434
30243404	, nautical ,		хөлөг онгоцны хөвөгч, хөлөг онгоцны тогтворжуулагч	302434
30250601	=fjord			302506
30250701	of the genus Abies		жодоо	302507
30260301			мөнгөний, санхүүгийн	302603
30263801	, medicine ,		унах, ухаан алдах	302638
30263802	unspecified		ухаан алдах	302638
30263803	CEN, of rage, passion, panic		хөдлөх	302638
30263804	be mad		улангасан уурлах	302638
30263805	of garment		-хгүй байх	302638
30265801	numeral		тав	302658
30266301	quandary		бэрхшээл, түвэг	302663
30266302	dose, of drugs		тун	302663
30266303	means of identification		байрлалыг тодорхойлох	302663
30266304	rigged arrangement		булхай байсан	302663
30267501	of drink		хөөсрөлт (шуугих)	302675
30267502	of match, firework		пис пас хийх	302675
30268001			хясаа руу түрж орсон тэнгисийн хоолой	302680
30268201			харвин, сул мах	302682
30275901			их бие	302759
30276901	vain		дэмий, хоосон, үргүй	302769
30276902	inane		утгагүй, тэнэг	302769
30277601	=use			302776
30278601	of storm, sea		догшрох	302786
30278602			уур хилэн	302786
30280801	of the genus Fuchsia		хүүхэн цэцэг, янаг цэцэг	302808
30280901	confused	brain	дүйрэнгэ	302809
30280902		state	дүйрэх	302809
30280903		person	мангуурах	302809
30280904	slightly drunk		мансуурсан	302809
30281301	for car, plane		түлш	302813
30281302		claims	шалтаг гаргах	302813
30281303		hatred	дэвэргэх	302813
30281304			түлш	302813
30282201	smoky		утаа униартай	302822
30282202	airless		бөгчим	302822
30282601			тулах цэг, тулгуур	302826
30282602			түшиг тулгуур	302826
30286601			бөмбөг алдах	302866
30287301			зугаа, наргиа, тоглоом	302873
30296201			нохой бөөс	302962
30297301	on animal		ноос, унгас	302973
30299401	with finger		няслах	302994
30299402	with whip, cloth		шавхуурдах	302994
30299403	movement		хурдан  хөдөлгөөн, огцом хөдөлгөөн	302994
30304701	on net, on line		хөвүүр	303047
30304702	in plumbing		хөвүүр, бөглөө	303047
30304703	swimmer's aid		хөвүүр самбар	303047
30304704	life jacket		аврах хантааз	303047
30304705	carnival vehicle		задгай тэвштэй тэрэг	303047
30304706	also cash float, in till		ойр зуурын хэрэгцээний бэлэн мөнгө	303047
30304707	drink		зайрмагтай ундаа	303047
30304708			хөвүүр	303047
30313701			ханиад	303137
30317701			ялаа	303177
30317702	of flag, outer edge		сэжүүр, зах	303177
30317703	carriage		хөлсний тэрэг (нэг морины)	303177
30320901			унага	303209
30321401	pocket		халаас (халаасны цагны)	303214
30321402	chain		гинж (халаасны цагны)	303214
30321701			фокусын, фокустай	303217
30322301	for animals		тэжээл	303223
30322401			дайсан	303224
30322701			манан, будан	303227
30322702		cigarette smoke	-ын манан	303227
30322703			бүүдийлгэх	303227
30323401			сул тал	303234
30323801	crease, in fabric, paper		нугалаа, үрчлээ	303238
30323802	skin		атираа	303238
30323803			жалга, сархиа, нугачаа	303238
30323804	in rock formation		атираа	303238
30323805			малын хашаа	303238
30327701			халуун жин тавь	303277
30327702			дэгдээ	303277
30327801	loving	geture	хайрласан	303278
30327802		person	энхрий, танхи	303278
30327803		eyes	талмиарсан	303278
30327804		heart	ялдам	303278
30327805	heartfelt	wish, ambition	дэмий, хоосон	303278
30327806	naïve		гэнэн сэтгэлээр найдан	303278
30327807	partial		хүнтэй дотно байх	303278
30327808	irritatingly prone		тэгээд салахаа мэддэггүй байх	303278
30328201	sustenance		хүнс тэжээл	303282
30328202	foodstuffs		хоол, хүнс	303282
30328203	provisions		хоол хүнс	303282
30328204	cuisine, cooking		хоол	303282
30328205	fuel		бодогдуулж байна	303282
30332503	in favour of	peace, divorce, reunification	Nicg төлөө	303325
30332505	as representative	MP, Minister	Nica төлөөлөн, Nicg нэрийн өмнөөс	303325
30332508	on the occasion of	new year, christmass, birthday	Nici, Nica тохиолдуулан	303325
30332511	towards	money,	Nicd, Nicg төлөө	303325
30332514	considering	opinion, suggestion, thank	Nicg хувьд	303325
30332520		person, friend,	Nicd зориулан	303325
30332526	as member, employee of	work, play	Nicd, Nicg талд	303325
30332528		day, month, year	Nicg дотор, Nicg хугацаанд, Nicg турш	303325
30352201	remains		чулуужсан үлдэгдэл	303522
30352901	=fight			303529
30358001	fish		шувуу	303580
30358002			шувууны мах	303580
30358101			үнэг	303581
30359301			хэрүүл, хэрүүл шуугиан	303593
30365001	deformed person		эрэмдэг этгээд	303650
30365002	strange person		этгээд хүн, гажигтай хүн	303650
30365003	unusual occurrence		сонин явдал, хачирхалтай явдал	303650
30365004	enthusiast		хэнхэг, хэнээт	303650
30379001	=Friday			303790
30384101	dress		даашинз	303841
30384102	of monk		санваартны өмсгөл, сахилын хувцас	303841
30389001			жимсэл	303890
30391901			жарамгай	303919
30391902	children		мөндөл	303919
30391903	unimportant people		шалихгүй амьтан, өчүүхэн амьтан	303919
30394601		remark	эвгүй	303946
30394602		person, attitude	дүйгүй	303946
30395701	=give			303957
30395801			эв хавгүй	303958
30395901			ижил хүйстэнтэйгээ нөхцөгч	303959
30396001	homosexual		ижил хүйстэн, гомо	303960
30396002		club, magazine	ижил хүйстний	303960
